,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
0,2.512087912087912,2.5120495285662345,2.486980833384934,0.02506869518412553,0,0,0.0,0.0,0.0,0,0.0
1,2.5106227106227106,2.512069655845264,2.48684276855548,0.02522688729256703,0,0,0.0,0.0,0.0,0,0.0
2,2.512087912087912,2.5120867561687725,2.4867044715713678,0.02538228460014548,0,0,0.0,0.0,0.0,0,0.0
3,2.512087912087912,2.512094375672883,2.4865659456328224,0.02552843004275922,0,0,0.0,0.0,0.0,0,0.0
4,2.512087912087912,2.512085866199445,2.486427193976042,0.02565867222605961,0,0,0.0,0.0,0.0,0,0.0
5,2.512087912087912,2.51205445241059,2.4862882198733995,0.025766232539803632,0,0,0.0,0.0,0.0,0,0.0
6,2.512087912087912,2.5119934508150283,2.4861490266336257,0.02584442418397442,0,0,0.0,0.0,0.0,0,0.0
7,2.512087912087912,2.511896574220584,2.4860096176019515,0.025886956621163026,0,0,0.0,0.0,0.0,0,0.0
8,2.512087912087912,2.511758247409992,2.485869996160218,0.02588825125226326,0,0,0.0,0.0,0.0,0,0.0
9,2.5106227106227106,2.5115738788565447,2.485730165726932,0.025843713132060867,0,0,0.0,0.0,0.0,0,0.0
10,2.512087912087912,2.5113400644529076,2.485590129757265,0.025749934698049502,0,0,0.0,0.0,0.0,0,0.0
11,2.5106227106227106,2.5110547237880705,2.4854498917429884,0.02560483204744793,0,0,0.0,0.0,0.0,0,0.0
12,2.5106227106227106,2.5107171707056724,2.485309455212337,0.025407715495661176,0,0,0.0,0.0,0.0,0,0.0
13,2.5106227106227106,2.5103281016076697,2.4851688237298037,0.025159277880151855,0,0,0.0,0.0,0.0,0,0.0
14,2.5106227106227106,2.5098894650289285,2.4850280008958605,0.02486146413531331,0,0,0.0,0.0,0.0,0,0.0
15,2.509157509157509,2.5094041708288453,2.4848869903466086,0.024517180484441466,0,0,0.0,0.0,0.0,0,0.0
16,2.509157509157509,2.508875623616192,2.484745795753357,0.024129827864999037,0,0,0.0,0.0,0.0,0,0.0
17,2.507692307692308,2.508307128650908,2.4846044208221385,0.023702707830892716,0,0,0.0,0.0,0.0,0,0.0
18,2.507692307692308,2.5077012930117144,2.4844628692931603,0.02323842372063555,0,0,0.0,0.0,0.0,0,0.0
19,2.506227106227106,2.5070595860055063,2.484321144940203,0.02273844106734296,0,0,0.0,0.0,0.0,0,0.0
20,2.506227106227106,2.5063822043340447,2.4841792515699623,0.02220295276608003,0,0,0.0,0.0,0.0,0,0.0
21,2.506227106227106,2.505668311734816,2.48403719302134,0.02163111871543189,0,0,0.0,0.0,0.0,0,0.0
22,2.5047619047619047,2.50491661443814,2.483894973164686,0.021021641275367663,0,0,0.0,0.0,0.0,0,0.0
23,2.5047619047619047,2.5041261361333502,2.483752595900985,0.020373540234236674,0,0,0.0,0.0,0.0,0,0.0
24,2.5032967032967033,2.503297012358566,2.4836100651609927,0.019686947199402612,0,0,0.0,0.0,0.0,0,0.0
25,2.501831501831502,2.502431145844633,2.4834673849043174,0.018963760942101813,0,0,0.0,0.0,0.0,0,0.0
26,2.501831501831502,2.5015326228938943,2.4833245591184476,0.018208063777189587,0,0,0.0,0.0,0.0,0,0.0
27,2.501831501831502,2.5006078431764363,2.4831815918177313,0.017426251360403665,0,0,0.0,0.0,0.0,0,0.0
28,2.498901098901099,2.499665343308672,2.483038487042309,0.01662685626801843,0,0,0.0,0.0,0.0,0,0.0
29,2.498901098901099,2.4987153237502713,2.4828952488570075,0.01582007489487573,0,0,0.0,0.0,0.0,0,0.0
30,2.4974358974358974,2.4977689470998836,2.4827518813502203,0.015017065751232187,0,0,0.0,0.0,0.0,0,0.0
31,2.495970695970696,2.4968375410076793,2.4826083886327672,0.014229152376438134,0,0,0.0,0.0,0.0,0,0.0
32,2.495970695970696,2.495931857378448,2.4824647748367656,0.013467082543165716,0,0,0.0,0.0,0.0,0,0.0
33,2.495970695970696,2.49506148836081,2.482321044114521,0.01274044424773027,0,0,0.0,0.0,0.0,0,0.0
34,2.4945054945054945,2.494234447012138,2.4821772006374534,0.012057246376083377,0,0,0.0,0.0,0.0,0,0.0
35,2.493040293040293,2.493456848857736,2.4820332485950725,0.011423600264019534,0,0,0.0,0.0,0.0,0,0.0
36,2.493040293040293,2.492732632082098,2.481889192194015,0.01084343988939563,0,0,0.0,0.0,0.0,0,0.0
37,2.4915750915750916,2.492063318430545,2.481745035657149,0.01031828277466482,0,0,0.0,0.0,0.0,0,0.0
38,2.4915750915750916,2.4914478821931634,2.4816007832227513,0.009847098971638137,0,0,0.0,0.0,0.0,0,0.0
39,2.49010989010989,2.490882815905498,2.4814564391437632,0.009426376762918187,0,0,0.0,0.0,0.0,0,0.0
40,2.49010989010989,2.490362456702638,2.4813120076871193,0.009050449016659544,0,0,0.0,0.0,0.0,0,0.0
41,2.49010989010989,2.489879576844881,2.481167493133148,0.008712083712831532,0,0,0.0,0.0,0.0,0,0.0
42,2.49010989010989,2.489426154264873,2.481022899775034,0.0084032544908954,0,0,0.0,0.0,0.0,0,0.0
43,2.49010989010989,2.4889941527566246,2.4808782319183313,0.008115920839308826,0,0,0.0,0.0,0.0,0,0.0
44,2.4886446886446887,2.488576112600126,2.4807334938805217,0.00784261872057906,0,0,0.0,0.0,0.0,0,0.0
45,2.4871794871794872,2.488165424554608,2.4805886899906007,0.007576734564942348,0,0,0.0,0.0,0.0,0,0.0
